0 1 7.14
0 49 2.6
0 2 9.35
0 48 9.28
0 3 6.57
0 46 1.44
0 5 5.19
0 45 8.67
0 41 6.39
1 0 4.43
1 2 8.29
1 3 8.63
1 49 7.51
1 4 9.34
1 48 8.8
1 5 9.81
1 47 8.74
1 6 7.13
1 19 8.14
2 1 3.22
2 3 6.51
2 0 5.62
2 4 6.8
2 6 2.28
2 48 3.2
2 7 2.18
2 47 1.84
2 45 9.84
3 2 5.74
3 4 7.16
3 1 1.37
3 5 4.25
3 0 9.6
3 6 2.57
3 7 2.02
3 49 1.75
3 8 8.89
3 48 3.19
4 3 9.4
4 5 1.61
4 2 1.07
4 6 5.04
4 1 3.05
4 7 1.4
4 8 5.14
4 9 1.39
4 49 7.71
5 4 5.31
5 6 6.49
5 3 1.31
5 7 4.88
5 8 7.84
5 1 8.04
5 0 1.14
5 10 3.49
5 46 7.79
5 25 5.09
6 5 1.3
6 7 4.51
6 4 4.38
6 8 7.28
6 3 8.24
6 9 5.77
6 2 4.33
6 10 3.38
6 1 6.17
6 11 9.45
7 6 6.04
7 8 1.25
7 5 7.12
7 4 5.58
7 10 5.63
7 3 4.35
7 2 3.43
7 12 4.69
7 30 9.59
7 13 5.61
8 7 4.39
8 9 9.95
8 6 1.68
8 5 9.16
8 11 1.23
8 4 5.85
8 12 7.59
8 3 6.71
8 48 5.15
8 49 5.64
9 8 4.76
9 10 6.81
9 11 2.08
9 6 4.92
9 12 5.49
9 13 3.44
9 4 3.87
9 14 3.84
10 9 4.93
10 11 2.77
10 12 5.08
10 7 8.87
10 13 7.56
10 6 1.77
10 5 8.6
10 48 2.12
10 34 9.88
11 10 1.6
11 12 7.67
11 9 3.51
11 13 8.62
11 8 1.81
11 14 8.53
11 15 4.9
11 6 6.74
11 16 2.65
12 11 4.83
12 13 5.05
12 10 2.78
12 14 9.68
12 9 5.66
12 15 2.01
12 8 8.61
12 16 9.7
12 7 6.08
12 17 6.62
12 38 7.85
13 12 2.49
13 14 6.82
13 11 6.25
13 10 4.34
13 16 5.92
13 9 3.67
13 17 2.94
13 18 7.75
13 37 8.4
13 7 6.68
13 42 7.44
14 13 7.97
14 15 1.58
14 12 2.07
14 16 8.79
14 11 4.6
14 17 7.18
14 18 8.08
14 9 8.47
14 19 5.13
14 30 7.36
15 14 7.25
15 16 7.88
15 17 8.64
15 12 6.44
15 18 3.04
15 11 1.33
15 19 8.0
15 20 1.74
15 22 4.05
16 15 6.86
16 14 5.95
16 18 8.58
16 13 1.04
16 19 6.96
16 12 6.52
16 20 9.04
16 11 8.71
16 21 4.21
16 27 6.4
16 34 2.39
17 18 9.49
17 15 4.53
17 19 6.98
17 14 8.05
17 20 3.01
17 13 3.64
17 21 3.74
17 12 8.52
17 22 7.06
17 46 5.17
18 17 9.87
18 19 5.34
18 16 9.94
18 20 9.1
18 15 5.4
18 21 4.59
18 14 5.67
18 22 2.91
18 13 9.17
18 23 6.83
19 18 6.41
19 20 1.19
19 17 4.86
19 16 5.23
19 22 3.58
19 15 7.74
19 23 9.52
19 14 5.27
19 24 5.8
19 1 6.18
20 19 6.22
20 21 5.3
20 18 2.92
20 22 8.07
20 17 3.73
20 23 9.62
20 16 9.29
20 24 6.03
20 15 8.35
20 25 7.76
21 20 7.03
21 22 9.06
21 23 8.75
21 18 6.3
21 24 1.26
21 17 9.99
21 25 8.48
21 16 9.93
21 26 3.78
22 21 7.54
22 20 5.18
22 19 4.5
22 18 1.34
22 26 8.02
22 17 9.39
22 27 4.01
22 15 2.14
22 44 7.01
22 42 8.12
22 47 7.66
23 24 9.25
23 21 2.16
23 25 1.2
23 20 4.29
23 26 7.48
23 19 3.36
23 27 7.35
23 18 2.82
23 28 2.63
24 23 3.81
24 25 5.75
24 26 9.89
24 21 3.46
24 27 8.28
24 20 4.58
24 28 2.96
24 19 6.06
24 29 6.92
25 24 8.01
25 26 8.9
25 23 8.88
25 27 6.27
25 28 1.62
25 21 1.48
25 20 2.17
25 30 7.38
25 5 4.78
26 25 2.86
26 27 1.1
26 24 3.79
26 28 3.29
26 23 8.17
26 29 6.05
26 22 3.63
26 30 7.99
26 21 9.75
26 31 2.8
27 26 3.96
27 28 2.53
27 25 2.31
27 29 4.65
27 24 9.82
27 30 6.88
27 23 8.41
27 31 4.26
27 22 1.7
27 32 2.88
27 16 3.1
28 27 3.34
28 29 2.58
28 26 4.96
28 30 6.7
28 25 9.74
28 31 8.86
28 24 9.36
28 32 6.93
28 23 7.09
28 33 1.55
29 28 6.01
29 30 6.59
29 27 1.57
29 31 5.65
29 26 2.38
29 32 7.91
29 33 5.03
29 24 7.21
29 34 8.5
30 29 2.27
30 28 9.33
30 32 7.62
30 27 1.5
30 33 9.92
30 26 4.42
30 34 6.95
30 25 7.7
30 35 4.06
30 14 8.98
30 7 2.7
31 32 9.47
31 29 4.37
31 33 6.37
31 28 7.64
31 34 8.77
31 27 2.22
31 35 2.15
31 26 4.66
31 36 9.27
32 31 2.97
32 33 7.31
32 30 4.03
32 34 1.88
32 29 7.9
32 35 2.1
32 28 8.73
32 36 6.65
32 27 7.46
32 37 3.56
33 32 8.18
33 34 5.72
33 31 3.94
33 35 3.21
33 30 3.65
33 36 4.94
33 29 4.04
33 37 8.96
33 28 1.95
33 38 1.59
34 33 7.69
34 35 7.86
